fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,Punjab National Bank,Public sector bank,1482.6,5.86%,0.20%,8.27% (Dec 2022),0% (Aug 2022),2.40 Cr,0.00,0.2
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,Punjab National Bank,Public sector bank,397.7,2.87%,0.90%,2.87% (Jul 2023),0% (Aug 2022),64.30 L,14.90 L,0.9
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,Rural Electrification Corporation Limited,Financial institution,135.6,6.09%,2.58%,6.09% (Jul 2023),0% (Aug 2022),6.68 L,2.93 L,2.58
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,Rural Electrification Corporation Limited,Financial institution,37.6,4.00%,0.56%,4% (Jul 2023),0% (Aug 2022),1.85 L,0.00,0.56
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,Rural Electrification Corporation Limited,Financial institution,538.8,3.89%,0.82%,3.89% (Jul 2023),0% (Aug 2022),26.55 L,2.40 L,0.82
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01,SKF India Ltd.,Abrasives & bearings,9021.0,2.87%,0.06%,3.71% (Aug 2022),2.66% (Apr 2023),16.81 L,0.00,0.06
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),3074.5,3.68%,0.28%,3.68% (Jul 2023),1.71% (Sep 2022),16.24 L,61.00 k,0.28
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),1054.9,3.06%,1.57%,3.06% (Jul 2023),0% (Aug 2022),5.57 L,2.77 L,1.57
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),151.9,2.99%,0.13%,2.99% (Jul 2023),0% (Aug 2022),80.24 k,0.00,0.13
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),2409.0,2.80%,0.12%,2.8% (Jul 2023),2.1% (Sep 2022),12.73 L,0.00,0.12
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fasteners/sundramfasteners/SF23,Sundram Fasteners Ltd.,Auto components & equipments,438.7,3.08%,0.06%,3.08% (Jul 2023),0% (Aug 2022),3.46 L,15.00 k,0.06
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,14990.2,4.78%,0.25%,4.78% (Jul 2023),3.57% (Aug 2022),42.23 L,2.68 k,0.25
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,6220.1,4.26%,0.24%,4.67% (Nov 2022),3.53% (May 2023),17.52 L,0.00,0.24
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,77.5,3.85%,0.30%,3.85% (Jul 2023),2.14% (Aug 2022),21.84 k,0.00,0.3
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,8140.3,3.67%,0.30%,3.67% (Jul 2023),2.24% (Aug 2022),22.93 L,0.00,0.3
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,4277.3,2.47%,0.11%,2.48% (Feb 2023),1.79% (Aug 2022),12.05 L,0.00,0.11
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10,Syngene International Ltd.,"Healthcare research, analytics & technology",214.0,2.77%,0.07%,2.79% (Apr 2023),0% (Aug 2022),2.69 L,13.79 k,0.07
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,220.4,2.86%,0.18%,2.86% (Jul 2023),0% (Aug 2022),1.60 L,13.92 k,0.18
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,1181.8,2.80%,0.27%,4.76% (Oct 2022),2.34% (Mar 2023),8.58 L,95.39 k,0.27
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,2148.5,8.49%,1.66%,8.49% (Jul 2023),3.21% (Dec 2022),11.96 L,2.59 L,1.66
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,17319.0,3.81%,0.23%,3.81% (Jul 2023),2.7% (Aug 2022),96.42 L,50.00 k,0.23
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,220.4,2.72%,0.43%,2.72% (Jul 2023),0% (Aug 2022),1.23 L,12.70 k,0.43
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,2950.4,2.60%,0.10%,2.6% (Jul 2023),0.85% (Aug 2022),16.43 L,-0.15 L,0.1
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,343.9,2.48%,0.34%,2.48% (Jul 2023),0% (Aug 2022),1.91 L,18.00 k,0.34
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,846.1,3.65%,0.18%,3.82% (Mar 2023),2.86% (Nov 2022),3.25 L,0.00,0.18
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,3928.7,3.33%,0.23%,3.97% (Mar 2023),3.06% (Nov 2022),15.11 L,0.00,0.23
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,7972.5,2.54%,0.19%,3.38% (Aug 2022),2.35% (Jun 2023),30.67 L,0.00,0.19
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/torrentpower/TP14,Torrent Power Ltd.,Integrated power utilities,3498.6,2.96%,0.10%,2.96% (Jul 2023),1.65% (Sep 2022),51.70 L,0.00,0.1
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/torrentpower/TP14,Torrent Power Ltd.,Integrated power utilities,960.5,2.29%,0.08%,2.29% (Jul 2023),1.86% (Jan 2023),14.19 L,0.00,0.08
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,842.3,2.56%,0.05%,3.28% (Oct 2022),2.17% (Jan 2023),4.79 L,31.09 k,0.05
