fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/piindustries/PII,Pi Industries Ltd.,Pesticides & agrochemicals,725.7,2.96%,0.05%,3.41% (Jun 2023),2.55% (Sep 2022),2.00 L,13.60 k,0.05
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/piindustries/PII,Pi Industries Ltd.,Pesticides & agrochemicals,781.8,2.28%,0.16%,2.4% (Jun 2023),0% (Sep 2022),2.15 L,22.60 k,0.16
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,55.8,2.71%,0.10%,2.71% (Aug 2023),1.49% (Dec 2022),10.90 k,0.00,0.1
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,2096.5,2.36%,0.07%,2.36% (Aug 2023),1.67% (Nov 2022),4.09 L,0.00,0.07
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,2201.0,2.55%,0.25%,2.55% (Aug 2023),0% (Sep 2022),84.59 L,10.95 L,0.25
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,Rural Electrification Corporation Limited,Financial institution,44.1,4.42%,0.42%,4.42% (Aug 2023),0% (Sep 2022),1.85 L,0.00,0.42
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,Solar Industries India Ltd.,Explosives,9870.2,2.98%,0.52%,3.58% (Dec 2022),2.46% (Jul 2023),20.40 L,5.00 k,0.52
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,Solar Industries India Ltd.,Explosives,135.8,2.59%,0.49%,2.59% (Aug 2023),1.73% (May 2023),28.07 k,0.00,0.49
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/sundaramfinance/SF20,Sundaram Finance Limited,Non banking financial company (nbfc),495.0,3.22%,0.04%,3.22% (Aug 2023),0% (Sep 2022),1.91 L,20.00 k,0.04
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,16752.4,5.06%,0.28%,5.06% (Aug 2023),3.88% (Oct 2022),37.58 L,-4.64 L,0.28
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,10221.7,4.51%,0.84%,4.51% (Aug 2023),2.43% (Sep 2022),22.93 L,0.00,0.84
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,5371.0,2.93%,0.46%,2.93% (Aug 2023),1.94% (Oct 2022),12.05 L,0,0.46
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,275.4,3.37%,0.51%,3.37% (Aug 2023),1% (Sep 2022),1.94 L,33.84 k,0.51
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,1218.9,2.82%,0.03%,4.76% (Oct 2022),2.34% (Mar 2023),8.58 L,0.00,0.03
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,5806.7,2.56%,0.02%,2.56% (May 2023),1.47% (Sep 2022),40.90 L,0.00,0.02
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,914.2,3.73%,0.08%,3.82% (Mar 2023),2.86% (Nov 2022),3.25 L,0.00,0.08
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,4244.8,3.38%,0.05%,3.97% (Mar 2023),3.06% (Nov 2022),15.11 L,0.00,0.05
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,8614.1,2.60%,0.06%,3.02% (Sep 2022),2.35% (Jun 2023),30.67 L,0.00,0.06
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,309.0,2.09%,0.09%,2.12% (Mar 2023),1.74% (Jan 2023),1.10 L,0.00,0.09
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,79.7,3.86%,0.47%,4.25% (Oct 2022),2.57% (Jan 2023),38.90 k,0.00,0.47
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,1319.6,3.60%,0.39%,3.69% (Oct 2022),2.98% (Jan 2023),6.44 L,13.83 k,0.39
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,7726.9,3.41%,0.42%,3.66% (Oct 2022),2.55% (Feb 2023),37.72 L,0.00,0.42
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,1016.8,2.97%,0.41%,3.28% (Oct 2022),2.17% (Jan 2023),4.96 L,16.98 k,0.41
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,253.7,2.95%,0.27%,3.1% (Oct 2022),2.21% (Sep 2022),1.24 L,0.00,0.27
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,Trent Limited,Speciality retail,2015.7,2.31%,0.31%,2.51% (Oct 2022),2% (Jul 2023),9.84 L,0,0.31
